title	artist
See You Again	Wiz Khalifa
Sugar	Maroon 5
Love Me Like You Do	Ellie Goulding
Thinking Out Loud	Ed Sheeran
Four Five Seconds	Rihanna
Chandelier	Sia
All About That Bass	Meghan Trainor
A Thousand Years	Christina Perri
All Of Me	John Legend
Stand By Me	Ben E. King
Lost Stars	Adam Levine
Elastic Heart	Sia
Stay With Me	Sam Smith
Big Girls Cry	Sia
Let It Go	Idina Menzel
Take Me To Church	HOZIER
A Whole New World	Aladdin
Uptown Funk!	Mark Ronson
Blank Space	Taylor Swift
Dear Future Husband	Meghan Trainor
Fire Meet Gasoline	Sia
Do You Wanna Build a Snowman?	Kristen Bell
King	Years & Years
Lay Me Down	Sam Smith
The Nights	Avicii
I'm Not The Only One	Sam Smith
Someone Like You	Adele
Rolling In The Deep	Adele
The Hanging Tree	Soundtrack Artists
Style	Taylor Swift
The Scientist	Coldplay
Earned It	The Weeknd
Talking Body	Tove Lo
Chasing Cars	Snow Patrol
Part Of Your World	Disney
Cup Song	Anna Kendrick
(Disney's Frozen) Let It Go	Idina Menzel
Shake It Off	Taylor Swift
Bailando	Enrique Iglesias
Rude	Magic!
Somebody That I Used To Know	Gotye
Just The Way You Are	Bruno Mars
Girl Crush	Little Big Town
Stressed Out	Twenty One Pilots
Story Of My Life	One Direction
El Perdón	Nicky Jam
I'm yours	Jason Mraz
Trap Queen	Fetty Wap
Just Give Me A Reason	Pink
You & I	One Direction
Creep	Radiohead
Eye Of The Tiger	Survivor
All Of The Stars	Ed Sheeran
Somewhere Over The Rainbow	Israel Kamakawiwo'ole
Geronimo	Sheppard
Masterpiece	Jessie J
Let It Go	Demi Lovato
One Last Time	Ariana Grande
Dekat Di Hati	Ran
Anaconda	Nicki Minaj
It's The Hard-knock Life	Annie
Love Me Harder	Ariana Grande
Price Tag	Jessie J
Fly Me To The Moon	Frank Sinatra
The Lazy Song	Bruno Mars
Photograph	Ed Sheeran
Want To Want Me	Jason DeRulo
Fix You	Coldplay
Boom Clap	Charli XCX
My Favorite Things (maria)	The Sound Of Music
Cups (Pitch Perfect's When I'm Gone)	Anna Kendrick
Lucky	Jason Mraz
Cheerleader	Omi
Uncover	Zara Larsson
Prologue Into The Woods	Into the Woods
Tomorrow	Annie
Honey, I'm Good	Andy Grammer
Roar	Katy Perry
Grenade	Bruno Mars
A Sky Full of Stars	Coldplay
Set Fire To The Rain	Adele
Call Me Maybe	Carly Rae Jepsen
Love Is an Open Door	Kristen Bell
Marry You	Bruno Mars
Maps	Maroon 5
Let Her Go	Passenger
The Heart Wants What It Wants	Selena Gomez
Night Changes	One Direction
Demons	Imagine Dragons
OctaHate	Ryn Weaver
Super Bass	Nicki Minaj
Defying Gravity	Wicked
Look At Me Now	Chris Brown
Boss	Fifth Harmony
Empire State Of Mind	Jay-Z
Viva La Vida	Coldplay
La Vie En Rose	Louis Armstrong
Phantom Of The Opera	Phantom Of The Opera
I Really Like You	Carly Rae Jepsen
Yesterday	Beatles
